route; type_of_day; information; times
315;WEEKDAY;None;{'Vila Franca': '14h45', 'Água de Pau': '15h00', 'Lagoa': '15h15', 'Livramento': '15h25', 'São Roque': '15h30', 'Ponta Delgada': '15h35'}
315;WEEKDAY;None;{'Vila Franca': '16h25', 'Água de Pau': '16h40', 'Lagoa': '16h55', 'Praia do Pópulo': '17h05', 'São Roque': '17h10', 'Ponta Delgada': '17h15'}
315;WEEKDAY;None;{'Vila Franca': '17h40', 'Água de Pau': '17h55', 'Lagoa': '18h10', 'Praia do Pópulo': '18h20', 'São Roque': '18h25', 'Ponta Delgada': '18h30'}
315;SATURDAY;None;{'Ponta Delgada': '08h00', 'São Roque': '08h05', 'Livramento': '08h10', 'Lagoa': '08h20', 'Água de Pau': '08h30', 'Vila Franca': '08h50'}
315;SATURDAY;None;{'Ponta Delgada': '11h00', 'São Roque': '11h05', 'Livramento': '11h10', 'Lagoa': '11h20', 'Água de Pau': '11h30', 'Vila Franca': '11h50'}
315;SATURDAY;None;{'Ponta Delgada': '12h40', 'São Roque': '12h45', 'Praia do Pópulo': '12h50', 'Lagoa': '13h00', 'Água de Pau': '13h10', 'Vila Franca': '12h30'}
315;SATURDAY;None;{'Ponta Delgada': '17h30', 'São Roque': '17h35', 'Livramento': '17h40', 'Lagoa': '17h50', 'Água de Pau': '18h00', 'Vila Franca': '18h20'}
315;SATURDAY;None;{'Vila Franca': '07h10', 'Água de Pau': '07h25', 'Lagoa': '07h40', 'Praia do Pópulo': '07h50', 'São Roque': '07h55', 'Ponta Delgada': '08h00'}
315;SATURDAY;None;{'Vila Franca': '08h10', 'Água de Pau': '08h25', 'Lagoa': '08h40', 'Praia do Pópulo': '08h50', 'São Roque': '08h55', 'Ponta Delgada': '09h00'}
315;SATURDAY;None;{'Vila Franca': '10h00', 'Água de Pau': '10h15', 'Lagoa': '10h30', 'Livramento': '10h40', 'São Roque': '10h45', 'Ponta Delgada': '10h50'}
315;SATURDAY;None;{'Vila Franca': '15h00', 'Água de Pau': '15h15', 'Lagoa': '15h30', 'Praia do Pópulo': '15h40', 'São Roque': '15h45', 'Ponta Delgada': '15h50'}
315;SUNDAY;None;{'Ponta Delgada': '10h00', 'São Roque': '10h05', 'Livramento': '10h10', 'Lagoa': '10h20', 'Água de Pau': '10h30', 'Vila Franca': '10h50'}
315;SUNDAY;None;{'Ponta Delgada': '12h30', 'São Roque': '12h35', 'Praia do Pópulo': '12h40', 'Lagoa': '12h50', 'Água de Pau': '13h05', 'Vila Franca': '13h20'}
315;SUNDAY;None;{'Vila Franca': '08h10', 'Água de Pau': '08h25', 'Lagoa': '08h40', 'Praia do Pópulo': '08h50', 'São Roque': '08h55', 'Ponta Delgada': '09h00'}
315;SUNDAY;None;{'Vila Franca': '15h00', 'Água de Pau': '15h15', 'Lagoa': '15h30', 'Praia do Pópulo': '15h40', 'São Roque': '15h45', 'Ponta Delgada': '15h50'}
315;SUNDAY;None;{'Vila Franca': '16h30', 'Água de Pau': '16h15', 'Lagoa': '17h00', 'Praia do Pópulo': '17h10', 'São Roque': '17h15', 'Ponta Delgada': '17h20'}
311;WEEKDAY;None;{'Ponta Delgada': '07h50', 'São Roque': '07h55', 'Livramento': '08h00', 'Lagoa': '08h15'}
311;WEEKDAY;None;{'Ponta Delgada': '08h25', 'São Roque': '08h30', 'Livramento': '08h35', 'Lagoa': '08h45'}
311;WEEKDAY;None;{'Ponta Delgada': '10h10', 'São Roque': '10h15', 'Livramento': '10h20', 'Lagoa': '10h35'}
311;WEEKDAY;None;{'Ponta Delgada': '13h00', 'São Roque': '13h05', 'Livramento': '13h10', 'Lagoa': '13h25'}
311;WEEKDAY;None;{'Ponta Delgada': '14h15', 'São Roque': '14h20', 'Livramento': '14h25', 'Lagoa': '14h40'}
311;WEEKDAY;None;{'Ponta Delgada': '15h30', 'São Roque': '15h35', 'Livramento': '15h40', 'Lagoa': '15h55'}
311;WEEKDAY;None;{'Ponta Delgada': '16h45', 'São Roque': '16h50', 'Livramento': '16h55', 'Lagoa': '17h10'}
311;WEEKDAY;None;{'Ponta Delgada': '17h00', 'São Roque': '17h05', 'Livramento': '17h10', 'Lagoa': '17h25'}
311;WEEKDAY;None;{'Ponta Delgada': '18h05', 'São Roque': '18h10', 'Livramento': '18h15', 'Lagoa': '18h30'}
311;WEEKDAY;None;{'Ponta Delgada': '18h30', 'São Roque': '18h35', 'Livramento': '18h40', 'Lagoa': '18h55'}
311;WEEKDAY;None;{'Ponta Delgada': '20h05', 'São Roque': '20h10', 'Livramento': '20h15', 'Lagoa': '20h30'}
311;WEEKDAY;None;{'Ponta Delgada': '21h15', 'São Roque': '21h30', 'Livramento': '21h35', 'Lagoa': '21h50'}
311;WEEKDAY;None;{'Ponta Delgada': '23h15', 'São Roque': '23h30', 'Livramento': '23h35', 'Lagoa': '23h50'}
311;WEEKDAY;None;{'Lagoa': '07h10', 'Livramento': '07h20', 'São Roque': '07h25', 'Ponta Delgada': '07h30'}
311;WEEKDAY;None;{'Lagoa': '07h20', 'Livramento': '07h30', 'São Roque': '07h35', 'Ponta Delgada': '07h40'}
311;WEEKDAY;None;{'Lagoa': '08h05', 'Livramento': '08h15', 'São Roque': '08h20', 'Ponta Delgada': '08h25'}
311;WEEKDAY;None;{'Lagoa': '08h40', 'Livramento': '08h50', 'São Roque': '08h50', 'Ponta Delgada': '08h55'}
311;WEEKDAY;None;{'Lagoa': '09h15', 'Livramento': '09h25', 'São Roque': '09h30', 'Ponta Delgada': '09h35'}
311;WEEKDAY;None;{'Lagoa': '11h00', 'Livramento': '11h10', 'São Roque': '11h15', 'Ponta Delgada': '11h20'}
311;WEEKDAY;None;{'Lagoa': '13h30', 'Livramento': '13h40', 'São Roque': '13h45', 'Ponta Delgada': '13h50'}
311;WEEKDAY;None;{'Lagoa': '14h50', 'Livramento': '15h00', 'São Roque': '15h05', 'Ponta Delgada': '15h10'}
311;WEEKDAY;None;{'Lagoa': '16h05', 'Livramento': '16h15', 'São Roque': '16h20', 'Ponta Delgada': '16h25'}
311;WEEKDAY;None;{'Lagoa': '17h40', 'Livramento': '17h50', 'São Roque': '17h55', 'Ponta Delgada': '18h00'}
311;WEEKDAY;None;{'Lagoa': '18h40', 'Livramento': '18h50', 'São Roque': '18h55', 'Ponta Delgada': '19h00'}
311;WEEKDAY;None;{'Lagoa': '22h00', 'Livramento': '22h10', 'São Roque': '22h15', 'Ponta Delgada': '22h35'}
311;SATURDAY;None;{'Ponta Delgada': '09h30', 'São Roque': '09h35', 'Livramento': '09h40', 'Lagoa': '09h50'}
311;SATURDAY;None;{'Ponta Delgada': '10h30', 'São Roque': '10h35', 'Livramento': '10h40', 'Lagoa': '10h50'}
311;SATURDAY;None;{'Ponta Delgada': '16h00', 'São Roque': '16h05', 'Livramento': '16h10', 'Lagoa': '16h20'}
